Gemeinde,Year,Abschnitt,Betrag in Euro
grein,2018,Berufsb. Unterricht,38925.41
grein,2018,Außerschulische Jugenerziehung,36130.63
grein,2018,Sport und außerschulische Leibeserziehung,6816.14
grein,2018,Forschung und Wissenschaft,1125.00
grein,2018,Erwachsenenbildung,0.00
grein,2018,Summe,812172.95
grein,2019,Allgemeinbildender Unterricht,509054.02
grein,2019,Vorschulische Erziehung,197920.58
grein,2019,Förderung des Unterrichtes,67995.32
grein,2019,Außerschulische Jugenerziehung,36296.06
grein,2019,Berufsb. Unterricht,34078.18
grein,2019,Sport und außerschulische Leibeserziehung,6910.93
grein,2019,Forschung und Wissenschaft,1875.00
grein,2019,Erwachsenenbildung,0.00
grein,2019,Summe,854130.09
grieskirchen,2007,Allgemeinbildender Unterricht,907790.43
grieskirchen,2007,Vorschulische Erziehung,595899.04
grieskirchen,2007,Berufsb. Unterricht,336060.09
grieskirchen,2007,Sport und außerschulische Leibeserziehung,144233.26
grieskirchen,2007,Förderung des Unterrichtes,68238.29
grieskirchen,2007,Gesonderte Verwaltung,14894.65
grieskirchen,2007,Erwachsenenbildung,2907.00
grieskirchen,2007,Forschung und Wissenschaft,152.61
grieskirchen,2007,Summe,2070175.37
grieskirchen,2008,Allgemeinbildender Unterricht,824913.38
grieskirchen,2008,Gesonderte Verwaltung,753439.87
grieskirchen,2008,Vorschulische Erziehung,567051.11
grieskirchen,2008,Berufsb. Unterricht,338090.11
grieskirchen,2008,Sport und außerschulische Leibeserziehung,87135.38
grieskirchen,2008,Förderung des Unterrichtes,84666.04
grieskirchen,2008,Außerschulische Jugenerziehung,4542.92
grieskirchen,2008,Erwachsenenbildung,2907.00
grieskirchen,2008,Summe,2662745.81
grieskirchen,2009,Gesonderte Verwaltung,2190000.00
grieskirchen,2009,Allgemeinbildender Unterricht,821859.44
grieskirchen,2009,Vorschulische Erziehung,681655.76
grieskirchen,2009,Berufsb. Unterricht,326269.66
grieskirchen,2009,Sport und außerschulische Leibeserziehung,231377.84
grieskirchen,2009,Förderung des Unterrichtes,83796.07
grieskirchen,2009,Außerschulische Jugenerziehung,51286.71
grieskirchen,2009,Erwachsenenbildung,2907.00
grieskirchen,2009,Forschung und Wissenschaft,101.74
grieskirchen,2009,Summe,4389254.22
grieskirchen,2010,Gesonderte Verwaltung,1200000.00
grieskirchen,2010,Allgemeinbildender Unterricht,902498.74
grieskirchen,2010,Vorschulische Erziehung,663490.53
grieskirchen,2010,Berufsb. Unterricht,349354.67
grieskirchen,2010,Sport und außerschulische Leibeserziehung,141178.37
grieskirchen,2010,Förderung des Unterrichtes,96445.69
grieskirchen,2010,Außerschulische Jugenerziehung,34056.08
grieskirchen,2010,Erwachsenenbildung,2907.00
grieskirchen,2010,Summe,3389931.08
grieskirchen,2011,Allgemeinbildender Unterricht,2066133.72
grieskirchen,2011,Vorschulische Erziehung,772765.02
grieskirchen,2011,Gesonderte Verwaltung,677000.00
grieskirchen,2011,Berufsb. Unterricht,298261.94
grieskirchen,2011,Förderung des Unterrichtes,153955.33
grieskirchen,2011,Sport und außerschulische Leibeserziehung,66393.81
grieskirchen,2011,Erwachsenenbildung,3414.51
grieskirchen,2011,Außerschulische Jugenerziehung,860.00
grieskirchen,2011,Forschung und Wissenschaft,465.13
grieskirchen,2011,Summe,4039249.46
grieskirchen,2012,Vorschulische Erziehung,1299408.49
grieskirchen,2012,Gesonderte Verwaltung,1286833.00
grieskirchen,2012,Allgemeinbildender Unterricht,1112176.57
grieskirchen,2012,Förderung des Unterrichtes,161507.96
grieskirchen,2012,Berufsb. Unterricht,139217.53
grieskirchen,2012,Sport und außerschulische Leibeserziehung,67953.13
grieskirchen,2012,Erwachsenenbildung,14593.60
grieskirchen,2012,Außerschulische Jugenerziehung,905.00
grieskirchen,2012,Summe,4082595.28
grieskirchen,2013,Allgemeinbildender Unterricht,1816925.84
grieskirchen,2013,Vorschulische Erziehung,1433058.70
grieskirchen,2013,Förderung des Unterrichtes,300372.25
grieskirchen,2013,Gesonderte Verwaltung,200000.00
grieskirchen,2013,Berufsb. Unterricht,120810.80
grieskirchen,2013,Sport und außerschulische Leibeserziehung,55457.09
grieskirchen,2013,Erwachsenenbildung,13204.36
grieskirchen,2013,Forschung und Wissenschaft,2730.02
grieskirchen,2013,Außerschulische Jugenerziehung,1240.00
grieskirchen,2013,Summe,3943799.06
grieskirchen,2014,Allgemeinbildender Unterricht,1287658.05
grieskirchen,2014,Vorschulische Erziehung,1260982.73
grieskirchen,2014,Gesonderte Verwaltung,964582.01
grieskirchen,2014,Förderung des Unterrichtes,171359.93
grieskirchen,2014,Berufsb. Unterricht,109456.48
grieskirchen,2014,Sport und außerschulische Leibeserziehung,63100.36
grieskirchen,2014,Erwachsenenbildung,12999.84
grieskirchen,2014,Forschung und Wissenschaft,5830.20
grieskirchen,2014,Außerschulische Jugenerziehung,860.00
grieskirchen,2014,Summe,3876829.6
grieskirchen,2015,Allgemeinbildender Unterricht,1455598.99
grieskirchen,2015,Gesonderte Verwaltung,1265000.00
grieskirchen,2015,Vorschulische Erziehung,1084615.09
grieskirchen,2015,Förderung des Unterrichtes,196903.69
grieskirchen,2015,Berufsb. Unterricht,112807.40
grieskirchen,2015,Sport und außerschulische Leibeserziehung,90100.84
grieskirchen,2015,Erwachsenenbildung,12931.71
grieskirchen,2015,Forschung und Wissenschaft,5238.15
grieskirchen,2015,Außerschulische Jugenerziehung,5208.38
grieskirchen,2015,Summe,4228404.25
grieskirchen,2016,Gesonderte Verwaltung,5043567.00
grieskirchen,2016,Allgemeinbildender Unterricht,1375553.69
grieskirchen,2016,Vorschulische Erziehung,1227085.79
grieskirchen,2016,Sport und außerschulische Leibeserziehung,201716.26
grieskirchen,2016,Förderung des Unterrichtes,168956.22
grieskirchen,2016,Berufsb. Unterricht,115760.64
grieskirchen,2016,Erwachsenenbildung,13992.98
grieskirchen,2016,Außerschulische Jugenerziehung,6949.38
grieskirchen,2016,Forschung und Wissenschaft,5658.00
grieskirchen,2016,Summe,8159239.96
grieskirchen,2017,Allgemeinbildender Unterricht,1289903.97
grieskirchen,2017,Vorschulische Erziehung,1071000.13
grieskirchen,2017,Gesonderte Verwaltung,1000000.00
grieskirchen,2017,Förderung des Unterrichtes,188937.61
grieskirchen,2017,Berufsb. Unterricht,154116.33
grieskirchen,2017,Sport und außerschulische Leibeserziehung,130821.82
grieskirchen,2017,Erwachsenenbildung,15100.94
grieskirchen,2017,Außerschulische Jugenerziehung,6712.94
grieskirchen,2017,Forschung und Wissenschaft,3924.45
grieskirchen,2017,Summe,3860518.19
grieskirchen,2018,Allgemeinbildender Unterricht,1389415.59
grieskirchen,2018,Vorschulische Erziehung,972454.30
grieskirchen,2018,Förderung des Unterrichtes,287192.02
grieskirchen,2018,Gesonderte Verwaltung,198756.00
grieskirchen,2018,Berufsb. Unterricht,164525.81
grieskirchen,2018,Sport und außerschulische Leibeserziehung,76339.84
grieskirchen,2018,Erwachsenenbildung,19183.96
grieskirchen,2018,Außerschulische Jugenerziehung,7486.06
grieskirchen,2018,Forschung und Wissenschaft,4437.70
grieskirchen,2018,Summe,3119791.28
grieskirchen,2019,Allgemeinbildender Unterricht,1639740.06
grieskirchen,2019,Vorschulische Erziehung,1080457.66
grieskirchen,2019,Förderung des Unterrichtes,233982.89
grieskirchen,2019,Berufsb. Unterricht,144079.14
grieskirchen,2019,Sport und außerschulische Leibeserziehung,87769.28
grieskirchen,2019,Erwachsenenbildung,18259.88
grieskirchen,2019,Außerschulische Jugenerziehung,9102.13
grieskirchen,2019,Forschung und Wissenschaft,5687.21
grieskirchen,2019,Summe,3219078.25
großraming,2007,Allgemeinbildender Unterricht,456188.79
großraming,2007,Vorschulische Erziehung,127111.71
großraming,2007,Sport und außerschulische Leibeserziehung,64753.96
großraming,2007,Förderung des Unterrichtes,49266.35
großraming,2007,Berufsb. Unterricht,14988.00
großraming,2007,Erwachsenenbildung,590.63
großraming,2007,Summe,712899.44
großraming,2008,Allgemeinbildender Unterricht,475931.61
großraming,2008,Sport und außerschulische Leibeserziehung,113243.77
großraming,2008,Vorschulische Erziehung,109394.26
großraming,2008,Förderung des Unterrichtes,70156.52
großraming,2008,Berufsb. Unterricht,17352.20
großraming,2008,Erwachsenenbildung,529.20
großraming,2008,Summe,786607.56
großraming,2009,Allgemeinbildender Unterricht,575055.79
großraming,2009,Vorschulische Erziehung,179370.40
großraming,2009,Förderung des Unterrichtes,71278.39
großraming,2009,Sport und außerschulische Leibeserziehung,32579.12
großraming,2009,Berufsb. Unterricht,21691.16
großraming,2009,Außerschulische Jugenerziehung,1362.00
großraming,2009,Erwachsenenbildung,754.20
großraming,2009,Summe,882091.06
großraming,2010,Allgemeinbildender Unterricht,503519.44
großraming,2010,Vorschulische Erziehung,192619.47
großraming,2010,Förderung des Unterrichtes,71456.07
großraming,2010,Sport und außerschulische Leibeserziehung,33709.18
großraming,2010,Berufsb. Unterricht,18603.10
großraming,2010,Außerschulische Jugenerziehung,7389.43
großraming,2010,Erwachsenenbildung,543.60
großraming,2010,Summe,827840.29
großraming,2011,Allgemeinbildender Unterricht,417505.62
großraming,2011,Vorschulische Erziehung,220714.68
großraming,2011,Sport und außerschulische Leibeserziehung,117732.83
großraming,2011,Förderung des Unterrichtes,74969.65
großraming,2011,Außerschulische Jugenerziehung,11369.00
großraming,2011,Berufsb. Unterricht,9516.08
großraming,2011,Erwachsenenbildung,531.00
großraming,2011,Summe,852338.86
großraming,2012,Allgemeinbildender Unterricht,406203.95
großraming,2012,Vorschulische Erziehung,279323.15
großraming,2012,Förderung des Unterrichtes,77601.17
großraming,2012,Sport und außerschulische Leibeserziehung,29475.13
großraming,2012,Berufsb. Unterricht,12058.00
großraming,2012,Außerschulische Jugenerziehung,11955.00
großraming,2012,Erwachsenenbildung,529.20
großraming,2012,Summe,817145.6
großraming,2013,Allgemeinbildender Unterricht,421849.20
großraming,2013,Vorschulische Erziehung,406908.62
großraming,2013,Förderung des Unterrichtes,94293.70
großraming,2013,Sport und außerschulische Leibeserziehung,40135.53
großraming,2013,Außerschulische Jugenerziehung,27905.02
großraming,2013,Berufsb. Unterricht,11388.80
großraming,2013,Erwachsenenbildung,544.20
großraming,2013,Summe,1003025.07
großraming,2014,Allgemeinbildender Unterricht,342392.65
großraming,2014,Vorschulische Erziehung,311973.20
großraming,2014,Förderung des Unterrichtes,90934.79
großraming,2014,Sport und außerschulische Leibeserziehung,56547.45
großraming,2014,Außerschulische Jugenerziehung,22274.34
großraming,2014,Berufsb. Unterricht,18250.30
großraming,2014,Erwachsenenbildung,372.60
großraming,2014,Summe,842745.33
großraming,2015,Allgemeinbildender Unterricht,1549994.82
großraming,2015,Vorschulische Erziehung,184585.31
großraming,2015,Förderung des Unterrichtes,84566.42
großraming,2015,Sport und außerschulische Leibeserziehung,29555.75
großraming,2015,Außerschulische Jugenerziehung,19645.02
großraming,2015,Berufsb. Unterricht,14912.65
großraming,2015,Erwachsenenbildung,529.20
großraming,2015,Summe,1883789.17
großraming,2016,Allgemeinbildender Unterricht,2945706.58
großraming,2016,Vorschulische Erziehung,236902.90
großraming,2016,Förderung des Unterrichtes,81140.00
großraming,2016,Sport und außerschulische Leibeserziehung,16844.44
großraming,2016,Außerschulische Jugenerziehung,16408.46
großraming,2016,Berufsb. Unterricht,12029.01
großraming,2016,Erwachsenenbildung,372.60
großraming,2016,Summe,3309403.99
großraming,2017,Allgemeinbildender Unterricht,1098570.75
großraming,2017,Vorschulische Erziehung,225141.36
großraming,2017,Förderung des Unterrichtes,82649.81
großraming,2017,Außerschulische Jugenerziehung,31882.42
großraming,2017,Berufsb. Unterricht,14673.82
großraming,2017,Sport und außerschulische Leibeserziehung,11901.47
großraming,2017,Erwachsenenbildung,372.60
großraming,2017,Summe,1465192.23
großraming,2018,Allgemeinbildender Unterricht,699239.03
großraming,2018,Vorschulische Erziehung,216757.51
großraming,2018,Förderung des Unterrichtes,100636.60
großraming,2018,Außerschulische Jugenerziehung,71797.75
großraming,2018,Sport und außerschulische Leibeserziehung,61716.59
großraming,2018,Berufsb. Unterricht,11599.38
großraming,2018,Erwachsenenbildung,529.20
großraming,2018,Summe,1162276.06
großraming,2019,Allgemeinbildender Unterricht,449098.96
großraming,2019,Vorschulische Erziehung,377234.57
großraming,2019,Sport und außerschulische Leibeserziehung,164302.43
großraming,2019,Außerschulische Jugenerziehung,117158.29
großraming,2019,Förderung des Unterrichtes,113397.20
großraming,2019,Berufsb. Unterricht,13348.69
großraming,2019,Forschung und Wissenschaft,525.00
großraming,2019,Erwachsenenbildung,418.20
großraming,2019,Summe,1235483.34
grünau-im-almtal,2007,Allgemeinbildender Unterricht,170339.06
grünau-im-almtal,2007,Außerschulische Jugenerziehung,79304.27
grünau-im-almtal,2007,Vorschulische Erziehung,74492.70
grünau-im-almtal,2007,Förderung des Unterrichtes,22895.96
grünau-im-almtal,2007,Berufsb. Unterricht,13598.00
grünau-im-almtal,2007,Sport und außerschulische Leibeserziehung,12486.88
grünau-im-almtal,2007,Forschung und Wissenschaft,400.00
grünau-im-almtal,2007,Erwachsenenbildung,300.00
grünau-im-almtal,2007,Summe,373816.87
grünau-im-almtal,2008,Allgemeinbildender Unterricht,169293.19
grünau-im-almtal,2008,Vorschulische Erziehung,83361.95
grünau-im-almtal,2008,Förderung des Unterrichtes,24264.80
grünau-im-almtal,2008,Außerschulische Jugenerziehung,15828.75
grünau-im-almtal,2008,Berufsb. Unterricht,13456.56
grünau-im-almtal,2008,Sport und außerschulische Leibeserziehung,12580.68
grünau-im-almtal,2008,Forschung und Wissenschaft,500.00
grünau-im-almtal,2008,Erwachsenenbildung,300.00
grünau-im-almtal,2008,Summe,319585.93
grünau-im-almtal,2009,Allgemeinbildender Unterricht,240073.21
grünau-im-almtal,2009,Vorschulische Erziehung,159133.17
grünau-im-almtal,2009,Sport und außerschulische Leibeserziehung,85364.73
grünau-im-almtal,2009,Förderung des Unterrichtes,25885.33
grünau-im-almtal,2009,Berufsb. Unterricht,15613.24
grünau-im-almtal,2009,Außerschulische Jugenerziehung,10219.07
grünau-im-almtal,2009,Erwachsenenbildung,1060.50
grünau-im-almtal,2009,Summe,537349.25
grünau-im-almtal,2010,Allgemeinbildender Unterricht,189235.35
grünau-im-almtal,2010,Vorschulische Erziehung,124382.69
grünau-im-almtal,2010,Sport und außerschulische Leibeserziehung,29073.95
grünau-im-almtal,2010,Förderung des Unterrichtes,25017.03
grünau-im-almtal,2010,Berufsb. Unterricht,14883.68
grünau-im-almtal,2010,Außerschulische Jugenerziehung,12698.67
grünau-im-almtal,2010,Erwachsenenbildung,1650.00
grünau-im-almtal,2010,Summe,396941.37
grünau-im-almtal,2011,Allgemeinbildender Unterricht,184536.93
grünau-im-almtal,2011,Vorschulische Erziehung,143154.96
grünau-im-almtal,2011,Außerschulische Jugenerziehung,31692.68
grünau-im-almtal,2011,Förderung des Unterrichtes,30644.64
grünau-im-almtal,2011,Sport und außerschulische Leibeserziehung,13972.46
grünau-im-almtal,2011,Berufsb. Unterricht,12772.00
grünau-im-almtal,2011,Erwachsenenbildung,1650.00
grünau-im-almtal,2011,Summe,418423.67
grünau-im-almtal,2012,Allgemeinbildender Unterricht,225099.36
grünau-im-almtal,2012,Vorschulische Erziehung,118170.28
grünau-im-almtal,2012,Förderung des Unterrichtes,32971.14
grünau-im-almtal,2012,Sport und außerschulische Leibeserziehung,32620.34
grünau-im-almtal,2012,Außerschulische Jugenerziehung,21061.38
grünau-im-almtal,2012,Berufsb. Unterricht,11272.00
grünau-im-almtal,2012,Erwachsenenbildung,1611.30
grünau-im-almtal,2012,Forschung und Wissenschaft,30.00
grünau-im-almtal,2012,Summe,442835.8
grünau-im-almtal,2013,Allgemeinbildender Unterricht,231543.64
grünau-im-almtal,2013,Vorschulische Erziehung,131463.03
grünau-im-almtal,2013,Sport und außerschulische Leibeserziehung,63316.90
grünau-im-almtal,2013,Förderung des Unterrichtes,35152.10
grünau-im-almtal,2013,Außerschulische Jugenerziehung,29219.71
grünau-im-almtal,2013,Berufsb. Unterricht,11924.80
grünau-im-almtal,2013,Erwachsenenbildung,5897.21
grünau-im-almtal,2013,Forschung und Wissenschaft,0.00
grünau-im-almtal,2013,Summe,508517.39
grünau-im-almtal,2014,Vorschulische Erziehung,297074.47
grünau-im-almtal,2014,Allgemeinbildender Unterricht,257191.49
grünau-im-almtal,2014,Förderung des Unterrichtes,38909.13
grünau-im-almtal,2014,Außerschulische Jugenerziehung,30639.96
grünau-im-almtal,2014,Sport und außerschulische Leibeserziehung,13077.82
grünau-im-almtal,2014,Berufsb. Unterricht,9174.00
grünau-im-almtal,2014,Erwachsenenbildung,4749.24
grünau-im-almtal,2014,Summe,650816.11
grünau-im-almtal,2015,Allgemeinbildender Unterricht,234541.55
grünau-im-almtal,2015,Vorschulische Erziehung,138099.79
grünau-im-almtal,2015,Förderung des Unterrichtes,41506.97
grünau-im-almtal,2015,Außerschulische Jugenerziehung,24624.77
grünau-im-almtal,2015,Sport und außerschulische Leibeserziehung,17159.58
grünau-im-almtal,2015,Berufsb. Unterricht,8657.46
grünau-im-almtal,2015,Erwachsenenbildung,4229.66
grünau-im-almtal,2015,Summe,468819.78
grünau-im-almtal,2016,Allgemeinbildender Unterricht,337882.54
grünau-im-almtal,2016,Vorschulische Erziehung,154489.22
grünau-im-almtal,2016,Sport und außerschulische Leibeserziehung,39006.36
grünau-im-almtal,2016,Förderung des Unterrichtes,37205.36
grünau-im-almtal,2016,Außerschulische Jugenerziehung,24407.11
grünau-im-almtal,2016,Berufsb. Unterricht,6440.00
grünau-im-almtal,2016,Erwachsenenbildung,6179.86
grünau-im-almtal,2016,Summe,605610.45
grünau-im-almtal,2017,Allgemeinbildender Unterricht,978034.63
grünau-im-almtal,2017,Vorschulische Erziehung,159047.45
grünau-im-almtal,2017,Förderung des Unterrichtes,38936.22
grünau-im-almtal,2017,Außerschulische Jugenerziehung,28544.72
grünau-im-almtal,2017,Sport und außerschulische Leibeserziehung,19363.77
grünau-im-almtal,2017,Berufsb. Unterricht,6686.08
grünau-im-almtal,2017,Erwachsenenbildung,3532.14
grünau-im-almtal,2017,Summe,1234145.01
grünau-im-almtal,2018,Allgemeinbildender Unterricht,549364.45
grünau-im-almtal,2018,Vorschulische Erziehung,155123.29
grünau-im-almtal,2018,Förderung des Unterrichtes,41933.88
grünau-im-almtal,2018,Außerschulische Jugenerziehung,40014.16
grünau-im-almtal,2018,Sport und außerschulische Leibeserziehung,23364.45
grünau-im-almtal,2018,Berufsb. Unterricht,7160.19
grünau-im-almtal,2018,Erwachsenenbildung,4243.04
grünau-im-almtal,2018,Summe,821203.46
grünau-im-almtal,2019,Vorschulische Erziehung,457811.86
grünau-im-almtal,2019,Allgemeinbildender Unterricht,345048.03
grünau-im-almtal,2019,Sport und außerschulische Leibeserziehung,172698.10
grünau-im-almtal,2019,Förderung des Unterrichtes,41651.75
grünau-im-almtal,2019,Außerschulische Jugenerziehung,39673.89
grünau-im-almtal,2019,Berufsb. Unterricht,5645.00
grünau-im-almtal,2019,Erwachsenenbildung,3859.15
grünau-im-almtal,2019,Summe,1066387.78
grünbach,2007,Vorschulische Erziehung,198095.33
grünbach,2007,Allgemeinbildender Unterricht,168087.75
grünbach,2007,Förderung des Unterrichtes,25091.02
grünbach,2007,Berufsb. Unterricht,5924.10
grünbach,2007,Sport und außerschulische Leibeserziehung,2121.16
grünbach,2007,Erwachsenenbildung,1844.57
grünbach,2007,Summe,401163.93
grünbach,2008,Allgemeinbildender Unterricht,223593.61
grünbach,2008,Vorschulische Erziehung,209101.24
grünbach,2008,Sport und außerschulische Leibeserziehung,140681.25
grünbach,2008,Förderung des Unterrichtes,29859.63
grünbach,2008,Berufsb. Unterricht,6638.86
grünbach,2008,Erwachsenenbildung,2395.41
grünbach,2008,Summe,612270
grünbach,2009,Vorschulische Erziehung,268748.14
grünbach,2009,Allgemeinbildender Unterricht,182815.35
grünbach,2009,Sport und außerschulische Leibeserziehung,145685.03
grünbach,2009,Förderung des Unterrichtes,34293.99
grünbach,2009,Berufsb. Unterricht,5595.40
grünbach,2009,Erwachsenenbildung,2042.10
grünbach,2009,Summe,639180.01
grünbach,2010,Vorschulische Erziehung,301753.63
grünbach,2010,Allgemeinbildender Unterricht,201559.90
grünbach,2010,Förderung des Unterrichtes,37179.87
grünbach,2010,Sport und außerschulische Leibeserziehung,9111.56
grünbach,2010,Berufsb. Unterricht,7397.27
grünbach,2010,Erwachsenenbildung,2935.46
grünbach,2010,Summe,559937.69
grünbach,2011,Vorschulische Erziehung,308710.69
grünbach,2011,Allgemeinbildender Unterricht,170567.79
grünbach,2011,Förderung des Unterrichtes,35696.71
grünbach,2011,Berufsb. Unterricht,9633.46
grünbach,2011,Sport und außerschulische Leibeserziehung,3768.30
grünbach,2011,Erwachsenenbildung,3520.69
grünbach,2011,Summe,531897.64
grünbach,2012,Vorschulische Erziehung,277210.96
grünbach,2012,Förderung des Unterrichtes,212447.56
grünbach,2012,Allgemeinbildender Unterricht,184521.54
grünbach,2012,Berufsb. Unterricht,8332.73
grünbach,2012,Erwachsenenbildung,2815.48
grünbach,2012,Sport und außerschulische Leibeserziehung,1332.43
grünbach,2012,Summe,686660.7
grünbach,2013,Vorschulische Erziehung,305749.16
grünbach,2013,Allgemeinbildender Unterricht,205962.83
grünbach,2013,Förderung des Unterrichtes,108723.43
grünbach,2013,Berufsb. Unterricht,4708.86
grünbach,2013,Erwachsenenbildung,2208.95
grünbach,2013,Sport und außerschulische Leibeserziehung,1259.71
grünbach,2013,Summe,628612.94
grünbach,2014,Vorschulische Erziehung,352823.55
grünbach,2014,Allgemeinbildender Unterricht,185413.01
grünbach,2014,Förderung des Unterrichtes,44783.87
grünbach,2014,Berufsb. Unterricht,6880.45
grünbach,2014,Erwachsenenbildung,1706.69
grünbach,2014,Sport und außerschulische Leibeserziehung,1240.51
grünbach,2014,Summe,592848.08
grünbach,2015,Vorschulische Erziehung,434918.26
grünbach,2015,Allgemeinbildender Unterricht,204200.33
grünbach,2015,Förderung des Unterrichtes,135390.84
grünbach,2015,Berufsb. Unterricht,7037.45
grünbach,2015,Erwachsenenbildung,4993.14
grünbach,2015,Sport und außerschulische Leibeserziehung,1762.71
grünbach,2015,Summe,788302.73
grünbach,2016,Vorschulische Erziehung,786492.20
grünbach,2016,Allgemeinbildender Unterricht,235127.67
grünbach,2016,Förderung des Unterrichtes,37618.22
grünbach,2016,Berufsb. Unterricht,6977.04
grünbach,2016,Außerschulische Jugenerziehung,4863.04
grünbach,2016,Erwachsenenbildung,4439.40
grünbach,2016,Sport und außerschulische Leibeserziehung,1800.67
grünbach,2016,Summe,1077318.24
grünbach,2017,Vorschulische Erziehung,538867.63
grünbach,2017,Allgemeinbildender Unterricht,200687.75
grünbach,2017,Förderung des Unterrichtes,41269.06
grünbach,2017,Berufsb. Unterricht,3718.70
grünbach,2017,Erwachsenenbildung,3648.45
grünbach,2017,Außerschulische Jugenerziehung,3038.89
grünbach,2017,Sport und außerschulische Leibeserziehung,2061.07
grünbach,2017,Forschung und Wissenschaft,900.00
grünbach,2017,Summe,794191.55
grünbach,2018,Vorschulische Erziehung,469870.65
grünbach,2018,Allgemeinbildender Unterricht,198446.13
grünbach,2018,Förderung des Unterrichtes,42116.99
grünbach,2018,Berufsb. Unterricht,11715.10
grünbach,2018,Erwachsenenbildung,3544.13
grünbach,2018,Sport und außerschulische Leibeserziehung,2586.58
grünbach,2018,Außerschulische Jugenerziehung,1830.10
grünbach,2018,Forschung und Wissenschaft,1350.00
grünbach,2018,Summe,731459.68
grünbach,2019,Vorschulische Erziehung,483151.62
grünbach,2019,Allgemeinbildender Unterricht,216800.26
grünbach,2019,Förderung des Unterrichtes,37515.20
grünbach,2019,Berufsb. Unterricht,7435.23
grünbach,2019,Erwachsenenbildung,3330.75
grünbach,2019,Außerschulische Jugenerziehung,2520.23
grünbach,2019,Forschung und Wissenschaft,1425.00
grünbach,2019,Sport und außerschulische Leibeserziehung,1144.10
grünbach,2019,Summe,753322.39
grünburg,2007,Allgemeinbildender Unterricht,483824.97
grünburg,2007,Vorschulische Erziehung,477419.08
grünburg,2007,Außerschulische Jugenerziehung,40912.61
grünburg,2007,Berufsb. Unterricht,28531.29
grünburg,2007,Sport und außerschulische Leibeserziehung,15373.72
grünburg,2007,Förderung des Unterrichtes,12735.77
grünburg,2007,Summe,1058797.44
grünburg,2008,Allgemeinbildender Unterricht,533227.53
grünburg,2008,Vorschulische Erziehung,440418.64
grünburg,2008,Sport und außerschulische Leibeserziehung,52231.62
grünburg,2008,Außerschulische Jugenerziehung,33934.70
grünburg,2008,Berufsb. Unterricht,28626.46
grünburg,2008,Förderung des Unterrichtes,13554.74
grünburg,2008,Erwachsenenbildung,4460.00
grünburg,2008,Summe,1106453.69
grünburg,2009,Allgemeinbildender Unterricht,611584.07
grünburg,2009,Vorschulische Erziehung,452040.78
grünburg,2009,Sport und außerschulische Leibeserziehung,37125.26
grünburg,2009,Außerschulische Jugenerziehung,35283.85
grünburg,2009,Berufsb. Unterricht,26591.52
grünburg,2009,Förderung des Unterrichtes,10615.06
grünburg,2009,Summe,1173240.54
grünburg,2010,Allgemeinbildender Unterricht,646454.94
grünburg,2010,Vorschulische Erziehung,465151.29
grünburg,2010,Außerschulische Jugenerziehung,36505.17
grünburg,2010,Berufsb. Unterricht,20391.66
grünburg,2010,Förderung des Unterrichtes,9304.55
grünburg,2010,Sport und außerschulische Leibeserziehung,9107.32
grünburg,2010,Erwachsenenbildung,1500.00
grünburg,2010,Summe,1188414.93
grünburg,2011,Allgemeinbildender Unterricht,590470.07
grünburg,2011,Vorschulische Erziehung,466335.90
grünburg,2011,Berufsb. Unterricht,26113.00
grünburg,2011,Außerschulische Jugenerziehung,24803.66
grünburg,2011,Förderung des Unterrichtes,11396.82
grünburg,2011,Sport und außerschulische Leibeserziehung,9462.85
grünburg,2011,Summe,1128582.3
grünburg,2012,Allgemeinbildender Unterricht,609172.45
grünburg,2012,Vorschulische Erziehung,490090.52
grünburg,2012,Außerschulische Jugenerziehung,36459.65
grünburg,2012,Berufsb. Unterricht,20734.61
grünburg,2012,Förderung des Unterrichtes,11434.04
grünburg,2012,Sport und außerschulische Leibeserziehung,10969.00
grünburg,2012,Summe,1178860.27
grünburg,2013,Allgemeinbildender Unterricht,879934.38
grünburg,2013,Vorschulische Erziehung,482483.37
grünburg,2013,Außerschulische Jugenerziehung,36753.99
grünburg,2013,Berufsb. Unterricht,21452.74
grünburg,2013,Sport und außerschulische Leibeserziehung,21220.55
grünburg,2013,Förderung des Unterrichtes,11746.48
grünburg,2013,Summe,1453591.51
grünburg,2014,Allgemeinbildender Unterricht,947789.72
grünburg,2014,Vorschulische Erziehung,524965.19
grünburg,2014,Außerschulische Jugenerziehung,34547.98
grünburg,2014,Berufsb. Unterricht,16096.10
grünburg,2014,Förderung des Unterrichtes,12333.36
grünburg,2014,Sport und außerschulische Leibeserziehung,8713.02
grünburg,2014,Summe,1544445.37
grünburg,2015,Allgemeinbildender Unterricht,1266237.67
grünburg,2015,Vorschulische Erziehung,600491.74
grünburg,2015,Außerschulische Jugenerziehung,28763.71
grünburg,2015,Berufsb. Unterricht,18236.00
grünburg,2015,Sport und außerschulische Leibeserziehung,14242.73
grünburg,2015,Förderung des Unterrichtes,13012.43
grünburg,2015,Summe,1940984.28
grünburg,2016,Allgemeinbildender Unterricht,991569.10
grünburg,2016,Vorschulische Erziehung,648413.51
grünburg,2016,Außerschulische Jugenerziehung,25086.67
grünburg,2016,Förderung des Unterrichtes,13428.88
grünburg,2016,Sport und außerschulische Leibeserziehung,11172.82
grünburg,2016,Berufsb. Unterricht,10344.38
grünburg,2016,Summe,1700015.36
