Gemeinde,Year,View,Abschnitt,Betrag in Euro
aigen-schlägl,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",1279.6176930262
aigen-schlägl,2018,prokopf,Summe,3404.7181662516
aigen-schlägl,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",1366.8828700249
aigen-schlägl,2019,prokopf,Summe,3414.7180472637
aistersheim,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",247.97533992583
aistersheim,2007,prokopf,Summe,1781.2183312732
aistersheim,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",320.02750611247
aistersheim,2008,prokopf,Summe,1647.6103300733
aistersheim,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",255.42527912621
aistersheim,2009,prokopf,Summe,1693.1014805825
aistersheim,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",258.23600961538
aistersheim,2010,prokopf,Summe,1990.8784375
aistersheim,2011,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",255.6291576414
aistersheim,2011,prokopf,Summe,1799.9612394705
aistersheim,2012,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",291.04007075472
aistersheim,2012,prokopf,Summe,2093.0474292453
aistersheim,2013,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",362.67129220023
aistersheim,2013,prokopf,Summe,1742.632572759
aistersheim,2014,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",1419.1437954545
aistersheim,2014,prokopf,Summe,3259.8946704545
aistersheim,2015,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",876.46170187793
aistersheim,2015,prokopf,Summe,3240.2104225352
aistersheim,2016,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",400.46442285714
aistersheim,2016,prokopf,Summe,2279.47464
aistersheim,2017,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",344.31077702703
aistersheim,2017,prokopf,Summe,2474.1513063063
aistersheim,2018,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",392.56575112108
aistersheim,2018,prokopf,Summe,2533.4745179372
aistersheim,2019,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",603.47884700665
aistersheim,2019,prokopf,Summe,3011.5966518847
alkoven,2007,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",184.33115853659
alkoven,2007,prokopf,Summe,1486.1817168445
alkoven,2008,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",175.66864050057
alkoven,2008,prokopf,Summe,1997.0596037163
alkoven,2009,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",240.50518386492
alkoven,2009,prokopf,Summe,1932.2502833021
alkoven,2010,prokopf,"Unterricht, Erziehung, Sport und Wissenschaft",283.11948785047
alkoven,2010,prokopf,Summe,1818.1081663551
