Nr.,Name,gültige Stimmen,Wahlzahl,zu vergebende Mandate,ÖVP,SPÖ,FPÖ,GRÜNE,NEOS,BIER,MFG,KPÖ,LMP,GAZA,KEINE,Rest-
40000,Oberösterreich,868253,27133,32,8,6,9,2,2,0,0,0,0,0,0,5
4A000,Linz und Umgebung,178812,27133,7,1,1,1,0,0,0,0,0,0,0,0,4
4B000,Innviertel,129386,27133,5,1,0,1,0,0,0,0,0,0,0,0,3
4C000,Hausruckviertel,215815,27133,8,2,1,2,0,0,0,0,0,0,0,0,3
4D000,Traunviertel,156301,27133,6,1,1,1,0,0,0,0,0,0,0,0,3
4E000,Mühlviertel,187939,27133,6,2,1,1,0,0,0,0,0,0,0,0,2
